algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,2,4004391,4.004391,true
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,2,4883859,4.883859,true
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,2,4230006,4.230006,true
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,3,9645197,9.645197,true
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,3,6259305,6.259305,true
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,3,6568403,6.568403,true
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,3,3730487,3.730487,true
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,3,7900050,7.900050,true
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,4,12670985,12.670985,true
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,4,7045042,7.045042,true
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,4,8750700,8.750700,true
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,4,4779738,4.779738,true
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,4,8083385,8.083385,true
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,5,9930038,9.930038,true
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,5,5914700,5.914700,true
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,5,4920388,4.920388,true
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,5,4708701,4.708701,true
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,5,5225793,5.225793,true
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,1,54858405,54.858405,true
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,1,30956977,30.956977,true
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,1,18797246,18.797246,true
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,1,18939389,18.939389,true
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,1,23119606,23.119606,true
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,2,56374000,56.374000,true
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,2,28800140,28.800140,true
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,2,24331220,24.331220,true
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,2,18851816,18.851816,true
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,2,19051752,19.051752,true
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,3,52459197,52.459197,true
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,3,32239462,32.239462,true
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,3,18446580,18.446580,true
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,3,19759494,19.759494,true
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,3,16654466,16.654466,true
