algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
QuickSortParallel,QuickSort,PARALLEL,16,500000,SORTED,2.3854682,0.32744359669216305,5,6.9722786,2.9228134753588413,0.18267584220992758
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,NEARLY_SORTED,15.4304014,5.575289582076729,5,0.4550966000000001,0.029493503649231062,0.014746751824615531
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,13.6171898,8.620448303756117,5,1.1870564,0.08717337552275285,0.043586687761376426
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,REVERSED,15.9776986,1.4472218372764416,5,0.5362794,0.033564245604182315,0.016782122802091157
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,14.360752200000002,1.6184351546947142,5,0.5384359999999999,0.037493579201234306,0.018746789600617153
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,NEARLY_SORTED,25.4726136,8.997890137604081,5,1.5339592,0.06021993754107745,0.030109968770538724
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,16.1409764,2.454569813470846,5,1.2032536,0.07454651875954667,0.037273259379773334
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,REVERSED,24.2420354,6.3369408817445425,5,1.7443716000000002,0.07195648266399282,0.03597824133199641
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,16.183948,4.989161270983581,5,1.3710216000000002,0.08471490392826275,0.042357451964131376
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,NEARLY_SORTED,46.836075,11.95875311694323,5,5.6847942,0.12137640056302754,0.06068820028151377
