algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,NEARLY_SORTED,15.4304014,5.575289582076729,5
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,13.6171898,8.620448303756117,5
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,REVERSED,15.9776986,1.4472218372764416,5
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,14.360752200000002,1.6184351546947142,5
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,NEARLY_SORTED,25.4726136,8.997890137604081,5
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,16.1409764,2.454569813470846,5
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,REVERSED,24.2420354,6.3369408817445425,5
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,16.183948,4.989161270983581,5
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,NEARLY_SORTED,46.836075,11.95875311694323,5
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,35.112131999999995,1.9275459165280615,5
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,REVERSED,38.7552748,6.331468793555424,5
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,40.946039400000004,5.181018834984225,5
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,NEARLY_SORTED,91.78171119999999,11.742276518031591,5
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,82.7629552,9.51453995352919,5
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,REVERSED,91.7095636,11.678651543007884,5
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,SORTED,75.616976,4.512658035718144,5
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,NEARLY_SORTED,13.409285399999998,4.1685638604476605,5
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,11.1762738,3.227076281371376,5
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,REVERSED,12.911021999999999,3.7579764601010996,5
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,13.7496746,3.375429504500176,5
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,NEARLY_SORTED,33.0704404,20.60167611765995,5
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,15.8548216,1.9348746305631275,5
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,REVERSED,26.148242600000003,7.034816174021521,5
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,15.139334600000002,1.930508272254822,5
